항목 / 시점,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512
부추_생산자물가지수(품목별),110.05,93.12,79.49,70.96,44.78,30.28,31.69,84.5,56.19,83.99,113.86,130.83,164.12,133.32,93.27,82.3,60.89,49.73,32.19,169.56,80.63,88.89,155.94,89.15,165.98,127.65,86.94,64.93,53.27,49.28,61.8,91.33,108.6,110.24,183.53,157.09,161.44,132.47,124.35,113.13,67.39,57.33,106.41,133.38,108.55,123.12,141.11,151.37,259.75,189.92,126.88,96.42,77.65,52.25,76.56,148.78,84.03,128.39,176.5,212.4,194.71,209.13,213.31,95.09,63.15,51.93,56.52,154.22,104.71,106.2,186.44,229.18,214.24,210.66,162.05,92.22,68.71,47.42,77.21,100.08,82.76,127.58,248.11,154.44
수박_생산자물가지수(품목별),146.7,123.86,103.48,111.65,116.88,96.88,119.42,115.48,82.69,96.71,112.24,118.06,117.45,124.43,117.76,110.61,104.96,107.37,115.29,129.74,126.54,48.27,50.09,47.47,42.95,75.65,121.89,110.22,103.14,88.43,123.85,116.36,80.04,62.88,91.9,106.78,100.41,110.97,113.94,117.3,140.49,113.23,151.77,163.26,111.63,97.04,103.01,111.09,120.79,176.5,166.83,128.95,127.23,111.77,131.63,188.49,128.49,95.13,104.97,115.18,236.05,245.01,232.34,221.53,137.62,108.52,130.06,175.12,122.55,119.18,119.95,143.5,135.72,136.84,150.99,137.26,129.08,109.63,176.28,174.34,128.15,102.0,112.69,114.91
참외_생산자물가지수(품목별),68.11,68.11,116.53,115.77,79.84,64.83,45.43,71.67,52.18,52.18,52.18,52.18,52.18,52.18,145.62,109.49,79.93,82.45,54.93,105.79,129.36,129.36,129.36,129.36,129.36,110.4,152.32,119.82,84.62,84.32,58.22,79.0,65.3,65.3,65.3,65.3,65.3,65.3,144.49,142.86,80.87,64.16,73.67,83.19,83.19,83.19,83.19,83.19,83.19,83.19,159.22,123.5,87.29,86.68,69.65,130.32,130.32,130.32,130.32,130.32,130.32,130.32,184.86,188.09,89.57,64.38,55.28,68.89,68.89,68.89,68.89,68.89,68.89,68.89,158.1,164.59,77.19,80.71,61.12,72.27,72.27,72.27,72.27,72.27
오이_생산자물가지수(품목별),115.68,110.45,95.18,59.24,50.71,48.03,76.88,113.48,88.07,87.76,109.85,115.77,164.45,138.41,97.68,60.2,51.39,60.7,83.03,149.56,162.7,55.58,67.91,108.4,138.09,135.27,108.12,68.48,73.5,64.32,81.41,112.91,109.35,130.05,152.8,149.73,165.41,131.82,130.39,79.85,61.32,78.51,157.39,163.39,132.8,97.63,84.66,148.15,196.83,188.74,138.12,93.79,71.59,80.73,122.58,140.27,144.54,114.93,141.65,169.72,217.29,220.04,181.35,101.27,66.24,55.33,109.98,133.2,148.93,141.11,140.15,141.02,174.16,159.72,138.65,89.93,75.98,75.78,85.09,113.87,126.41,127.21,110.32,138.06
호박_생산자물가지수(품목별),93.86,81.97,68.4,46.32,47.78,54.63,52.6,97.42,95.47,80.84,57.42,85.76,138.49,133.4,107.45,55.19,59.66,58.05,77.59,211.52,149.64,54.18,60.77,94.07,153.96,143.75,125.74,72.22,90.89,74.16,49.47,92.87,131.61,131.09,118.27,130.34,147.14,113.67,114.13,74.29,60.57,91.2,130.0,185.41,133.64,95.68,67.82,117.86,162.92,193.5,149.12,98.46,95.09,75.54,102.54,113.03,125.96,104.11,106.86,123.48,176.71,201.32,192.43,111.03,64.8,53.41,79.55,112.24,136.36,143.84,113.89,116.48,150.28,148.26,135.61,83.52,82.57,86.25,63.07,91.63,108.55,117.6,92.18,97.24
토마토_생산자물가지수(품목별),100.5,97.1,111.65,95.3,62.42,54.78,52.84,62.97,81.05,95.72,103.73,108.11,108.08,111.2,125.79,111.13,65.15,55.12,72.66,89.07,132.4,138.36,97.22,93.81,101.1,86.76,110.58,100.46,69.91,61.3,82.41,82.0,87.72,80.21,117.71,111.3,125.53,104.37,117.11,91.05,79.21,75.44,93.39,114.01,135.44,139.35,98.23,80.62,89.72,111.88,116.67,93.86,80.96,80.02,96.16,121.36,170.26,164.69,120.87,130.42,143.49,154.55,162.13,145.16,113.63,83.27,79.9,101.99,154.12,191.55,154.33,134.36,110.5,120.14,120.84,103.79,80.91,73.43,86.89,101.79,129.36,114.41,136.07,107.69
딸기_생산자물가지수(품목별),117.5,94.17,79.27,74.16,69.91,69.91,69.91,69.91,69.91,69.91,69.91,151.48,164.69,105.51,86.65,91.56,81.98,81.98,81.98,81.98,81.98,81.98,81.98,177.72,135.51,115.38,85.52,58.45,69.52,69.52,69.52,69.52,69.52,69.52,69.52,189.39,208.45,115.25,83.97,66.8,56.82,56.82,56.82,56.82,56.82,56.82,56.82,169.89,151.83,125.72,86.27,78.44,78.54,78.54,78.54,78.54,78.54,78.54,78.54,199.55,191.11,160.26,119.47,94.51,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,136.41,126.65,87.11,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,202.39
파프리카_생산자물가지수(품목별),119.27,100.71,77.22,68.78,57.07,55.62,39.66,68.8,153.27,87.83,72.14,66.85,126.65,127.86,118.89,85.16,56.5,51.81,57.67,111.24,181.4,123.82,77.36,81.65,137.27,135.11,132.62,97.62,80.79,68.85,68.36,86.66,112.27,93.64,62.97,83.31,125.02,131.14,101.01,81.31,83.07,54.62,64.45,150.55,190.28,105.59,56.27,73.68,134.41,142.42,132.97,100.32,93.6,78.89,57.58,105.43,139.93,122.01,67.15,80.43,145.92,163.88,158.78,121.6,69.09,53.2,41.66,98.91,126.62,108.5,89.89,108.64,124.05,130.73,124.44,103.19,77.58,70.63,55.41,130.19,104.94,106.65,88.91,78.8
무_생산자물가지수(품목별),56.5,57.7,53.8,58.27,61.17,64.01,59.3,63.26,90.56,148.1,143.6,187.73,160.76,78.79,64.8,65.65,62.16,87.63,94.28,130.7,189.1,118.76,73.95,73.42,103.91,72.12,64.17,68.06,64.43,72.96,88.82,93.58,76.56,79.88,88.56,81.79,86.54,82.7,81.12,82.33,108.24,121.44,152.42,185.46,247.57,211.61,110.42,87.93,100.31,115.5,104.85,120.34,133.57,116.92,113.57,194.56,143.27,103.75,74.62,79.08,97.05,109.05,111.36,124.12,131.05,125.26,148.89,195.5,217.46,184.41,166.23,202.78,225.45,235.71,216.0,199.45,75.56,85.25,99.97,107.72,94.6,101.45,106.11,121.59
풋고추_생산자물가지수(품목별),73.84,111.52,117.96,71.09,78.63,71.23,75.32,105.24,99.27,86.54,83.68,57.46,117.58,150.98,102.74,80.09,70.08,79.76,86.69,94.19,177.66,107.73,82.4,50.1,91.83,208.7,136.39,85.54,79.78,104.35,104.66,65.26,67.61,91.41,95.63,74.23,133.74,146.6,117.09,93.0,98.82,112.78,158.51,114.38,152.96,114.42,90.18,84.66,157.3,252.77,140.11,80.57,88.06,92.41,78.19,68.91,119.16,107.6,73.49,82.65,164.78,201.27,209.28,110.03,72.87,61.2,85.17,82.77,98.08,106.89,81.97,70.34,91.48,118.95,121.59,68.83,63.19,71.25,101.24,58.97,81.62,78.22,82.99,60.85
건고추_생산자물가지수(품목별),105.47,104.57,104.79,104.29,104.17,102.85,100.98,92.89,85.11,82.37,82.47,82.59,74.19,73.28,73.47,73.95,74.06,76.34,77.02,99.26,149.44,143.02,143.73,142.22,140.8,140.69,139.98,140.42,140.42,140.6,140.76,119.47,103.47,101.55,101.26,101.59,101.34,99.97,99.88,99.88,99.68,99.47,100.18,100.72,115.59,113.84,110.44,109.02,108.88,108.88,108.82,108.73,108.78,108.95,109.27,109.84,111.43,112.67,113.28,113.21,113.01,111.5,111.42,111.39,111.58,111.95,112.06,111.58,111.5,110.69,110.27,110.14,110.25,110.29,110.96,110.79,110.65,110.38,110.33,110.38,111.66,111.76,111.47,111.44
